UF,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
PE,201710,1786957,4910764,1611843,4642528,192779,586611,1093896,3149178,1286675,3735789
PE,201711,1810157,4949272,1623375,4665351,192399,583514,1101922,3165284,1294321,3748798
PE,201712,1844034,5003184,1634327,4688802,191488,579675,1106029,3170701,1297517,3750376
PE,201801,1877716,5054252,1645746,4712359,190652,576581,1105432,3160568,1296084,3737149
PE,201802,1896856,5085629,1655835,4730408,190319,573941,1110858,3167699,1301177,3741640
PE,201803,1859281,4978620,1619643,4623784,178796,537581,1095010,3119110,1273806,3656691
PE,201804,1878148,5012271,1633381,4649359,178675,534823,1105464,3138972,1284139,3673795
PE,201805,1901494,5053264,1650692,4681085,178324,530899,1119292,3165536,1297616,3696435
PE,201806,1915905,5075981,1661105,4697754,178743,530707,1125165,3171419,1303908,3702126
PE,201807,1926344,5089080,1668620,4706088,182209,542530,1132138,3182530,1314347,3725060
PE,201808,1854998,4898142,1612479,4540187,172378,511739,1121082,3148107,1293460,3659846
PE,201809,1874485,4927991,1626517,4561809,174023,514077,1127170,3150065,1301193,3664142
PE,201810,1903766,4977471,1647642,4598979,174979,512769,1133097,3145325,1308076,3658094
PE,201811,1923001,5006638,1658855,4616525,175784,513496,1137404,3145347,1313188,3658843
PE,201812,1885096,4893707,1618523,4504218,165163,483345,1118388,3092646,1283551,3575991
PE,201901,1913630,4947193,1636398,4547446,163172,478226,1130544,3122911,1293716,3601137
PE,201902,1933094,4982563,1649906,4573426,163160,476300,1139892,3140510,1303052,3616810
PE,201903,1947037,5006033,1659862,4590571,163427,476300,1145147,3145364,1308574,3621664
PE,201904,1925147,4953496,1641528,4541367,157469,458472,1137672,3125381,1295141,3583853
PE,201905,1943401,4985411,1655232,4566201,157495,457069,1147827,3142509,1305322,3599578
PE,201906,1961142,5017436,1668502,4591366,157543,455609,1157950,3161720,1315493,3617329
PE,201907,1974515,5038357,1676964,4605239,158047,455888,1162593,3166622,1320640,3622510
PE,201908,1995052,5070096,1687979,4623129,158242,454422,1167646,3170763,1325888,3625185
PE,201909,1940492,4916195,1640002,4482100,148664,426112,1154788,3133790,1303452,3559902
PE,201910,1963878,4959357,1655650,4513537,149743,427329,1163972,3150424,1313715,3577753
PE,201911,1981042,4993393,1667164,4538717,149900,426361,1171525,3166628,1321425,3592989
PE,201912,1998072,5026980,1678376,4563140,150012,425504,1178683,3181971,1328695,3607475
PE,202001,2009316,5049907,1693228,4595750,150192,425376,1182565,3190764,1332757,3616140
PE,202002,1968896,4950166,1659488,4511846,144523,408754,1176368,3178197,1320891,3586951
