ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
431647,202112,316,752,107,313,9,20,29,74,38,94
431650,202112,135,354,95,287,8,25,40,106,48,131
431660,202112,935,2401,443,1357,58,207,106,273,164,480
431670,202112,1279,2964,754,2015,132,381,336,805,468,1186
431673,202112,244,632,96,318,9,31,16,35,25,66
431675,202112,404,1028,111,372,13,45,20,61,33,106
431680,202112,9010,21954,6622,17643,1504,4083,2868,7384,4372,11467
431690,202112,26504,62949,18328,48473,3324,9398,8418,21626,11742,31024
431695,202112,219,518,119,338,23,75,59,145,82,220
431697,202112,489,1114,377,946,51,116,220,567,271,683
431700,202112,1466,3588,1182,3088,212,497,624,1684,836,2181
431710,202112,14481,32920,10376,27139,1489,4187,5775,14994,7264,19181
431720,202112,7138,16935,4294,11679,1036,2931,836,2051,1872,4982
431725,202112,33,82,25,68,6,20,11,25,17,45
431730,202112,4368,10059,2785,7613,592,1701,998,2811,1590,4512
431740,202112,5649,12860,3774,9805,924,2788,1014,2288,1938,5076
431750,202112,8218,20599,6210,17410,1532,4455,2236,6203,3768,10658
431755,202112,343,917,86,274,14,33,14,46,28,79
431760,202112,5682,12474,3915,9685,451,1252,2396,5574,2847,6826
431770,202112,2087,4622,1587,3970,165,387,1121,2778,1286,3165
431775,202112,210,523,107,321,22,71,19,43,41,114
431780,202112,2310,5453,1508,4019,233,658,606,1576,839,2234
431790,202112,819,2100,530,1526,91,245,218,635,309,880
431795,202112,295,719,139,411,26,74,35,96,61,170
431800,202112,8782,20229,5532,15175,1267,4140,470,1333,1737,5473
431805,202112,290,707,69,239,2,9,4,9,6,18
431810,202112,3508,7883,2230,5619,413,1070,1002,2391,1415,3461
431820,202112,2287,5838,1750,4982,466,1436,668,1888,1134,3324
431830,202112,9468,20190,7020,16901,1852,5279,1306,3086,3158,8365
431840,202112,2865,7068,2298,6173,320,892,1478,3951,1798,4843
431842,202112,518,1270,188,558,30,97,72,193,102,290
431843,202112,341,893,246,699,31,92,113,304,144,396
431844,202112,204,540,71,230,16,58,17,58,33,116
431845,202112,533,1364,370,1043,47,116,207,588,254,704
431846,202112,292,720,252,662,13,33,220,577,233,610
431848,202112,165,414,88,251,10,29,21,41,31,70
431849,202112,415,1007,82,241,9,26,15,31,24,57
431850,202112,4486,11554,3444,9601,789,2395,1132,3012,1921,5407
431860,202112,661,1530,361,962,61,175,205,532,266,707
431861,202112,97,262,61,182,10,33,20,56,30,89
431862,202112,499,1530,411,1375,75,282,200,627,275,909
431870,202112,23096,55974,18456,48855,2016,5993,11535,29202,13551,35195
431880,202112,4145,10321,2956,8235,396,1273,1487,3912,1883,5185
431890,202112,5021,12241,3179,8764,871,2555,540,1653,1411,4208
431900,202112,1042,2550,677,1899,112,340,329,849,441,1189
431910,202112,804,1836,298,792,39,110,91,194,130,304
431912,202112,527,1351,412,1156,80,240,245,682,325,922
