UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AL,201710,27588746,626659,1807153,558180,1710197,69374,229229.0,382395.0,1174081.0,451769.0,1403310.0
AL,201711,27588746,634371,1819263,561738,1716858,68829,226822.0,385481.0,1180611.0,454310.0,1407433.0
AL,201712,27588746,646449,1836221,565089,1722882,67993,223695.0,387153.0,1182408.0,455146.0,1406103.0
AL,201801,27588746,656528,1850576,569412,1730495,67452,221593.0,388494.0,1181687.0,455946.0,1403280.0
AL,201802,27588746,662447,1859415,572725,1735608,67105,219648.0,390218.0,1183129.0,457323.0,1402777.0
AL,201803,27588746,647644,1813854,558459,1690320,62225,203136.0,384621.0,1163764.0,446846.0,1366900.0
AL,201804,27588746,654960,1825547,563590,1698965,62147,201937.0,388668.0,1171044.0,450815.0,1372981.0
AL,201805,27588746,664957,1842465,570878,1712223,61932,199668.0,394864.0,1184084.0,456796.0,1383752.0
AL,201806,27588746,671745,1853035,575667,1720037,62036,199024.0,397838.0,1188448.0,459874.0,1387472.0
AL,201807,27588746,676070,1858562,578876,1724010,63652,205290.0,400908.0,1193338.0,464560.0,1398628.0
AL,201808,27588746,648218,1782767,557380,1657768,59389,190774.0,397558.0,1181495.0,456947.0,1372269.0
AL,201809,27588746,653809,1790038,561335,1662733,59582,190267.0,399654.0,1182157.0,459236.0,1372424.0
AL,201810,27588746,661378,1802208,566791,1671974,59037,186268.0,401137.0,1180525.0,460174.0,1366793.0
AL,201811,27588746,666736,1809802,570285,1676984,59056,185389.0,403083.0,1182171.0,462139.0,1367560.0
AL,201812,27588746,647960,1755787,552486,1624967,54880,172435.0,395318.0,1160380.0,450198.0,1332815.0
AL,201901,27588746,656450,1770732,557273,1636108,54596,172169.0,398251.0,1167357.0,452847.0,1339526.0
AL,201902,27588746,661960,1780160,560967,1642912,54570,171328.0,400843.0,1172071.0,455413.0,1343399.0
AL,201903,27588746,665330,1785154,563325,1646471,54621,171261.0,402277.0,1173172.0,456898.0,1344433.0
AL,201904,27588746,655570,1760092,555152,1623126,52663,164896.0,398045.0,1161406.0,450708.0,1326302.0
AL,201905,27588746,660727,1768292,558856,1629190,52839,164974.0,400591.0,1164804.0,453430.0,1329778.0
AL,201906,27588746,666206,1776978,562496,1635323,53051,165030.0,402910.0,1168218.0,455961.0,1333248.0
AL,201907,27588746,668999,1779401,563858,1635790,52952,164383.0,403603.0,1167079.0,456555.0,1331462.0
AL,201908,27588746,675305,1788023,567196,1640119,52910,163534.0,404935.0,1166656.0,457845.0,1330190.0
AL,201909,27588746,653080,1724374,547608,1580886,49378,152134.0,397986.0,1146592.0,447364.0,1298726.0
AL,201910,27588746,660102,1736881,551783,1589339,49718,152414.0,400037.0,1149923.0,449755.0,1302337.0
AL,201911,27588746,665227,1746877,554958,1596568,49910,152648.0,401946.0,1154171.0,451856.0,1306819.0
AL,201912,27588746,670096,1756165,557854,1603063,49908,152252.0,403742.0,1158123.0,453650.0,1310375.0
AL,202001,27588746,673508,1762477,561778,1611004,50074,152389.0,404558.0,1160076.0,454632.0,1312465.0
AL,202002,27588746,653547,1712034,545235,1566598,47578,144027.0,399677.0,1148584.0,447255.0,1292611.0
AL,202003,27588746,658619,1722219,548818,1573899,47912,144527.0,401124.0,1152012.0,449036.0,1296539.0
AL,202004,27588746,660284,1724124,549924,1575016,47955,144339.0,401891.0,1152707.0,449846.0,1297046.0
AL,202005,27588746,661934,1725975,551362,1576588,47990,144143.0,403040.0,1153958.0,451030.0,1298101.0
AL,202006,27588746,663612,1728871,552752,1579080,48138,144348.0,403767.0,1154934.0,451905.0,1299282.0
AL,202007,27588746,665186,1731588,554050,1581407,48295,144569.0,404411.0,1155905.0,452706.0,1300474.0
AL,202008,27588746,668232,1736972,556452,1585857,48564,144946.0,405741.0,1158163.0,454305.0,1303109.0
